id,category_id,categoryname,question,option1,option2,option3,option4,option5,pictures,answer,explanation,,
77,4,Pediatrics,"A 15 year old girl presents with a 2 day history of pain and swelling in her left knee. She plays soccer regularly on her school team. There is no history of trauma. On physical examination, there is marked swelling and tenderness over her anterior tibial tuberosity. A radiograph of her left knee reveals irregularities of the tubercle contour and haziness of the adjacent metaphyseal border. Which of the following is the most likely explanation for her symptoms?  ",Avascular necrosis of the hip,Legg-Calve-Perthes disease,Osgood-Schlatter disease,Septic arthritis,Slipped capital femoral epiphysis,,3,"Osgood-Schlatter disease is a common cause of anterior knee pain in the adolescent. It is a stress reaction of the insertion of the patella tendon into the tibia tubercle. The condition previously was more common in adolescent boys near the time of their growth spurt; however, girls are being seen more frequently with this diagnosis owing to more active sports participation. There can be some fragmentation of the ossicles of the developing tibia tubercle or soft tissue involvement of the patella tendon insertion without obvious bony changes. Often there is only a tendonitis of the patella tendon insertion and inflammation of the deep infrapatellar bursa. Clinically, a young teenager who is quite active in sports will complain of pain and swelling over the tibial tubercle. The condition may be unilateral or bilateral. On examination, there is an obviously swollen, tender, and occasionally warm area over the tibia tubercle. The radiograph can be normal or show fragmentation of the area of patella tendon insertion. The natural history of untreated Osgood-Schlatter disease is relatively benign, if allowed to heal and complications are avoided. Since unusual stress at a time of rapid growth is occurring, limiting the offending sports activity is usually sufficient to relieve the symptoms. Kneeling and squatting should be limited. Physical therapy is occasionally used if there is unusual hamstring tightness.",,
78,4,Pediatrics,A 1 month neonate presents with fever and cough. On physical exam she has coarse breath sounds and labs show an increased WBC count. CXR clearly is consistent with pneumonia. See picture: The most likely causative agent in this age group is: ,E. Coli,GBS,S. Pneumoniae,H. Influenza,N. Meningitidis,q10.jpg,2,"Pneumonia is a common illness in all age groups, the most likely causative bug does differ based on the age of the patient as follows:Neonatal (0-1 month): Streptococcus agalactiae (group B strep), E. coliInfants (1-6 months): Chlamydia trachomatis (afebrile pneumonia), RSV Children (6 months -5 years): RSV, Parainfluenza virus Children (5-15 years): Mycoplasma pneumoniae, Influenza virus type A Young Adults (16-30 years): Mycoplasma pneumoniae Older Adults: Streptococcus pneumoniae, Haemophilus influenzae Neonatal pneumonia tends to be caused by organisms that are acquired from the maternal genital tract or the nursery. Group B Strep being the most common.",,
79,1,Medicine,"All the following can be given to improve sexual function in males, except:",Sildenafil,Estrogen,Testosterone,Gonadotrophin analogues,,,2,"Sexual dysfunction in males can be treated with various drugs. Viagra (sildenafil) is a popular choice for erectile dysfunction (ED). Testosterone is used as it promotes and maintains secondary sex characteristics in androgen-deficient males. Gonadotropin-releasing hormones have been used in patients with Gonadotropin-Releasing Hormone Deficiency because these patients can develop hypogonadism leading to infertility and sexual dysfunction.Estrogen has no role in the treatment of male sexual dysfunction, but in females estrogen creams are used for atrophic vaginitis in the elderly.",,
80,4,Pediatrics,"A 5 year old boy is brought to the ER with swollen eyelids, loss of appetite, nausea and vomiting. His blood pressure is high and urine tests show RBC casts. The treatment of his acute nephritic syndrome involves all of the following, except:",Diuretics,Salt restriction,Fluid restriction,Prednisolone,Enalapril alone,,5,"Nephritis treatment involves a diet that is low in protein and sodium, and may be necessary until kidney function recovers. Diuretics may be prescribed to help the kidneys excrete excess sodium and water and to treat high blood pressure. For rapidly progressive glomerulonephritis, drugs to suppress the immune system are started promptly. High doses of corticosteroids are usually given intravenously.Agents useful in treating hypertension include calcium channel blockers and nitroprusside. Note that beta-blocking agents or angiotensin-converting enzyme (ACE) inhibitors administered alone may not be useful unless administered with vasodilators and diuretics, because plasma renin activity levels are reduced. ",,
81,1,Medicine,A man comes to see you. His past medical history includes hypertension. He tells you that he has experienced impotence for the past 6 months with his wife. But he is able to develop an erection in the morning and while reading an adult magazine in the washroom. What should you do?  ,Change his blood pressure medicine,Prescribe and ED medicine like Cialis or Levitra,Reassurance,Check a testosterone level,Discuss couples counseling,,5,Erectile dysfunction (ED) is a common problem among males. It can be caused by medicine side effects. Beta blockers used to treat hypertension are common causes of male ED. However this patients history suggests he has non-organic impotence. Since he is able to achieve an erection. At this time is appropriate to discuss counseling for him and his wife to help treat this partner-specific ED.,,
82,6,Surgery,A 56 year old man has surgery for ruptured diverticulitis. 24 hours post-operative he develops a fever. What is the most likely cause?,Atelectasis,UTI,Wound infection,DVT, Medication side effect,,1,"The famous mnemonic for post-operative fever is: wind, water, wound, walk. Referring to pneumonia or atelectasis, UTI, wound infections and DVT. These happen classically during post-op days 1, 3, 5 and 7 respectively.",,
83,1,Medicine,"A 78 year old man presents with a 2 month history of progressive hoarseness. He has been a smoker for over 20 years. He denies any history of dyspnea, dysphagia or hemoptysis. He denies any fever, night sweats or weight loss. On physical exam he has no lymphadenopathy. What is the first thing to be done? ",Chest X-ray,Laryngoscopy,Throat culture,CT,Reassurance,q15.jpg,2,"Laryngoscopy should be done on this patient first, usually by an ENT specialist. See picture:In this patient laryngoscopy confirmed that a large, firm, smooth swelling had involved the supraglottic larynx (voice-box) on the right. A biopsy in this patient actually revealed a lymphoma. A computed tomography (CT) of the neck usually follows to further evaluate the extent of the tumor. Despite its relative rarity, the consequences of a missed diagnosis warrant vigilance for this type of laryngeal tumor.Although he is a smoker, he denies any hemoptysis or weight loss making lung cancer a little lower on your differential.",,
84,5,Psychiatry,"A woman brings in her son to your office saying that he is an alcoholic who denies it. Among the questions you could ask him, what question is least relevant?  ",Do you need a drink when you first get up in the morning,Do you hate criticism about your drinking,Do you drink only on social occasions,Do you drink and then feel guilty about it,Have you ever tried to cut down on your drinking,,3,The C.A.G.E. questionnaire is an important tool in evaluating potential alcoholics. The questions are as follows:C: Have you ever tried to Cut down on drinking? A: Have you ever felt Annoyed at criticism of your drinking? G: Have you ever felt Guilty about your drinking? E: Have you ever needed a drink first thing in morning? Eye opener,,
85,1,Medicine,"A 54 year old man presents with acute onset of painful great right toe. It is swollen, red and tender. This is his first episode. You decide to order a serum uric acid and a 24 urine for uric acid. You then prescribe for him which of the following medicines ",Colchicine,Indomethacin,Allopurinol,Probenacid,,,2,Gout is a disease that can occur when purine metabolism gives rise to uric acid. Uric acid is normally excreted in the urine. But in certain people this is not done. These patients are called undersecretors. While other patients can excrete the uric acid normally but their body produces larger than normal amounts. These patients are called overproducers.The treatment of acute gout involves NSAIDS such as indomethacin. Colchicine is also prescribed but is not as well tolerated due to side effects.The treatment of chronic gout involves allopurinol for overproducers and probenacid for undersecretors. The tests ordered (serum uric acid and 24 urine for uric acid) should help classifying which category this patient is in.,,
86,1,Medicine,A 17 year old female has been a strict vegetarian for 3 years now. She does not eat any meat whatsoever and watches the labels closely of everything she buys at the grocery store. What vitamin deficiency is she most likely to develop? ,Folic acid,Vitamin B12,Vitamin A,Vitamin C,,,2,"Studies show that over 90% of vegans (those who ate the strictest vegetarian diet, which shuns all animal products, including milk and eggs) had vitamin B12 deficiency. Approximately 65% of vegetarians (diets that included milk and eggs) were also deficient. Only 5% of those who consumed meats had vitamin B12 deficiency. B12 is not found in any plant food other than fortified cereals. It is, however, abundant in many meats and fish, and in smaller amounts in milk and eggs. This makes it difficult for people following a strict vegetarian diet to get the necessary amount of vitamin B12. Vitamin B12 deficiency leads to anemia. Symptoms of vitamin B12 deficiency, which usually come on gradually, include fatigue, weakness, nausea, and constipation. Long-term and severe vitamin B12 deficiency can lead to nerve changes such as numbness, tingling in the hands and feet, balance and memory problems, and depression.",,
87,2,OBGYN,Which is true about congenital anomalies?,Congenital anomalies rarely affect growth,"If symmetrical IUGR is detected, look for congenital anomalies",Trisomy 13 and 18 will not cause growth retardation,Asymmetrical IUGR usually occurs early in the first trimester,,q19.jpg,2,"During routine prenatal care, if a fetal ultrasound shows Intra-uterine Growth Retardation (IUGR) it is important to investigate further.In Symmetrical IUGR there is inadequate growth of the head, body and extremities. The growth problem is the result of a decrease in the rate of cell reproduction, resulting in fewer cells. This usually has its onset prior to 32 weeks of pregnancy and has a 25% risk for chromosomal abnormalities (Down syndrome, trisomy 13, trisomy 18) which should definitely be investigated.Asymmetrical IUGR usually occurs early in the third trimester and implies a fetus who is undernourished and is directing most of its energy to maintaining growth of vital organs, such as the brain and heart, at the expense of the liver, muscle and fat. This type of growth restriction is usually the result of placental insufficiency.",,
88,2,OBGYN,"Tocolysis is contraindicated in all of the following, except:","Twin gestation pregnancy, in labor at 33 weeks",Cervix 4 cm,Chorioamnionitis,Single pregnancy in labor at 34 weeks,Maternal hypertension,,2,"Tocolysis is the delaying or inhibition of labor during the birth process. It is a way to &lsquo;buy time' when a woman goes into pre-term labor, but conditions are not favorable for delivery. Common medicine used for tocolysis are Terbutaline, Magnesium Sulfate, Calcium Channel Blockers and NSAID (Indomethacin).Tocolytic therapy should only be considered between 23 and 33 completed weeks gestational age. There is no good evidence that tocolytic therapy is successful in the presence of multiple gestation, ruptured membranes, or with cervical dilation &gt;4cm.But certain conditions are contraindications for tocolysis. Those are: bleeding (placenta previa or abruption), maternal HTN, maternal DM, maternal heart disease, eclampsia or pre-eclampsia, chorioamnionitis, erythroblastosis fetalis, severe congenital anomalies, fetal distress/demise and IUGR. ",,
89,2,OBGYN,A 23 year old woman presents to your office with chief complaint of smelly vaginal discharge. You decide to do a test to check for bacterial vaginosis. She is not sexually active. What is the proper method to look for clue cells? See picture:,Vaginal secretion with KOH and cover,Vaginal secretion with saline and cover,Cervical secretion with saline and cover,Cervical secretion with KOH and cover,,q21.jpg,2,"In bacterial vaginosis (BV), a woman will complain of odorous vaginal discharge. Physical exam may show the discharge upon speculum exam. The following tests are done to diagnose common vaginal infections which are bacterial vaginosis, trichomoniasis and yeast infections.Wet prep (wet mount/wet smear): A sample of the vaginal discharge is placed on a glass slide and mixed with a saline solution. The slide is looked at under a microscope for bacteria, yeast cells, trichomoniasis (trichomonads), white blood cells that show an infection or clue cells that show bacterial vaginosis. KOH slide. A sample of the vaginal discharge is placed on a slide and mixed with a solution of potassium hydroxide (KOH). The KOH kills bacteria and cells from the vagina, leaving only yeast for a yeast infection. Vaginal pH. The normal vaginal pH is 3.8 to 4.5. Bacterial vaginosis, trichomoniasis, and atrophic vaginitis often cause a vaginal pH higher than 4.5. Treatment of BV is with metronidazole (Flagyl). Since this is an infection caused by the overgrowth of the bacteria normally in the vagina it is not an STD so any sexual partners would not need treatment.",,
90,1,Medicine,A 45 year old man presents with swelling in the right scrotum. You notice a tender mass above the testis. The skin of his scrotum is red and inflamed. On rectal exam his prostate is enlarged but not tender. He has pyuria (pus in his urine). What is the diagnosis? ,Epididymitis,Epididymitis and prostatitis,Gonococcal urethritis,Nephrolithiasis,,,1,"Epididymitis presents with scrotal pain and swelling. Prehn's sign is positive (Prehn's sign, the physical lifting of the testicles relieves the pain of epididymitis but not pain caused by testicular torsion).Tests include U/A and Urine culture. The cause is usually gonorrhea or chlamydia. Treatment is with antibiotics.",,
91,1,Medicine,"A 25 year old male present with severe headache, neck pain, photophobia and fever. After several tests are negative you decide to do a lumbar puncture, which shows viral meningitis. The CSF analysis would not show which of the following? ",Sugar normal,Protein elevated,Chloride high,Cell count  300,Pressure normal,,3,"The CSF analysis in viral meningitis will be as follows:Opening pressure: will be normalCell count: Will be low, in contrast to bacterial meningitis where the cell count is very high.Protein: CSF protein level usually is only slightly elevated, but can range from being normal to as high as 200 mg/dL.Glucose: Normal in most cases.Chloride: level in the CSF will be normal.The measurement of CSF chloride is most useful in the diagnosis of tuberculous meningitis where it will be low.",,
92,4,Pediatrics,A woman gives birth to a baby with cleft palate. You are going to send her home after counseling. For what reason she is going to come to your office more often?  ,Feeding problems,Recurrent otitis media,Teeth problems,Breathing problems,,q24.jpg,1,"Cleft palate if untreated will lead to the baby having feeding problems, speech pathologies and recurrent infections, but in the first months feeding problem have greater importance. Surgical repair can be done at 6-9 months of age.",,
93,1,Medicine,A post menopausal woman comes to you to discuss hormone replacement therapy (HRT). She has a history of migraines and a strong family history of osteoporosis. What would be an appropriate choice? ,Offer combination oral estrogen-progesterone HRT,Offer progesterone only,Offer biphosphonate only,Offer oral estrogen only,,,3,"Oral forms of estrogen and progesterone can cause several side effects, one of which is migraines. For this patient the only medicine appropriate is a bisphosphonate like Actonel or Fosamax to prevent her from developing osteoporosis.",,
94,6,Surgery,A 34 year old man who is 5'10&rdquo; and weighs 165 pounds fractures his wrist. He will need surgical repair and the anesthesiologist decides to do a Bier block (regional IV anesthesia). See picture:Which is of the following is true about this method of anesthesia? ,For such a surgery bupivacaine is better,"Effect lasts longer even after the procedure, giving adequate post op analgesia",Suitable for all procedures in hand,Ok for patients of all sizes,,q26.jpg,3,"Bier block anesthesia involves lidocaine and a tourniquet. It is indicated for fractures of the forearm, wrist and hand. Bier block is not appropriate for fractures about the elbow, and may not be appropriate in patients with excessive obesity (w/ a large fatty arm).In this procedure a tourniquet is placed on the arm and lidocaine is injected into the dorsal vein in hand, distal to the fracture site.After 30-45 min, most of the lidocaine has been bound to tissues in forearm, therefore, removing the tourniquet at this time does not release a large dose of lidocaine into the general circulation.Bupivacaine can last for up to 20 hours after surgery and would not be appropriate since after the tourniquet is removed the drug would go into the circulation. A shorter acting drug such as lidoocaine is appropriate as it last only 1-5 hours.",,
95,1,Medicine,"A 43 year old housewife presents with several week history of heartburn, stomach pain and satiety. You order an EGD and a gastric ulcer is present. You treat the patient for 6 weeks with omeprazole. She returns and is asymptomatic now. But a repeat gastroscopy done shows that the ulcer is still present. Her biopsies are negative for malignancy and H. Pylori. What is the next step in management? ",Add ranitidine,Extend current treatment,Follow up only,Partial gastrectomy with excision of ulcer," Add bismuth, metronidazole, and tetracycline",q27.jpg,2,"A gastric or Peptic ulcer is essentially damage to the inner lining of the stomach, causing a 'crater'. This can be caused by H. pylori infections, excessive acid production in the stomach and long term use of the NSAID class of drugs which include aspirin, ibuprofen and naproxen.Symptoms of gastric ulcers that patients will present with are pain, heartburn, early satiety and sometimes bloating and vomiting. Diagnoses is made by doing an EGD (esophagogastroduodenoscopy) to visualize the ulcer. A biopsy can be taken at the time also.Treatment options include medicines that reduce the amount of acid that your stomach makes. H2 blockers and proton pump inhibitors (PPI) are commonly used for this. They usually help people start to feel better within 3 days. PPIs taken daily or twice-daily doses for 4 weeks heal 80-100% of gastric ulcers if H pylori infection is not present or has been eradicated.All H2 blockers are comparable in efficacy and, when used in twice-daily doses for a period of 8 weeks, have a healing rate of higher than 70%.If healing of gastric ulcer is not achieved despite repeat treatment, maintenance antisecretory therapy should be recommended.Instruct patients to avoid NSAIDs.Discourage alcohol consumption and cigarette smoking because these activities impair gastric mucosal protection.",,
96,1,Medicine,"A 65 year old man presents with a history of paroxysms of sweating, palpitations, headaches and anxiety. This happens off and on. His blood pressure on exam is 156/95. On further history he tells you that one of his relatives had thyroid cancer. At this time what tests should be done first? ",24 hour urinary catacholamines and metanephrines,Serum VMA,CT of adrenal,CT of head,CMP,,1,"This patient needs to be screened for pheocromocytoma. Pheochromocytoma is a tumor of the adrenal gland which causes very high levels of the catecholamines (epinephrine and norepinephrine) to be secreted into the bloodstream. This can lead to many sympathetic nervous system symptoms like elevated blood pressure, palpitations, anxiety, diaphoresis, headaches, weight loss. These symptoms happen is spurts or paroxysms.Diagnoses is made by measuring the level of the catecholamines and their breakdown products or metabolites which are called metanephrines in a 24 hour urine collection. Treatment involves medicines to control the blood pressure and surgery to remove the tumor. (Metanephrine levels are considered the most sensitive and specific test for a pheochromocytoma, while vanillylmandelic acid is the least specific test and has a false-positive rate greater than 15%.)Recall the MEN syndromes. MEN (Multiple endocrine neoplasia) has three types:MEN I (Wermer syndrome) - tumors of the pancreas, pituitary and parathyroid.MEN IIa (Sipple syndrome) - medullary thyroid carcinoma, pheochromcytoma and tumor of the parathyroid.MEN IIb - Medullary thyroid carcinoma, pheochromocytoma and neuromas.This patient could have MEN II if you consider his family history.",,
97,3,PMCH,A man suspects that he may have gonorrhea. Tests confirm it. He tells you that his wife works at the hospital and he wishes to keep this a secret to avoid possible conflicts and embarrassment. What is the appropriate way to handle this situation? ,Ask him to tell his wife,You must call his wife and let her know.,Don't listen to him,Send his wife a letter, Suggest relationship counselling.  ,,1,"Gonnorhea should be reported to local public health unit. Since gonorrhea is an STD that is communicable, his partner should know about it also. Since patient confidentiality must be respected, it is best to ask him to tell his wife about this.",,
98,4,Pediatrics,A 5 year old girl is brought to you by her father. He states that she has since birth a history of vomiting after meals. She now complains of dysphagia for solids. The likely cause for her symptoms is: ,Esophagitis,Bazoar,Hiatal hernia,Duodenal ulcer,,q30.jpg,3,"Her clinical picture most resembles that of a hiatal hernia.A hiatal hernia is an anatomic abnormality where the stomach protrudes through the diaphragm and up into the chest. These hernias can be present from birth.Symptoms include reflux, vomiting, difficulty swallowing and heartburn. Diagnoses is made by EGD, treatment is via surgical repair.",,
99,6,Surgery,"A patient is involved in a motor vehicle accident (MVA). He presents to the ER, during physical exam you notice he has blood at urinary meatus. See picture: Which of the following is contraindicated at this time?",Urethrogram,Catheterization,Urinalysis,Prostate exam,,q31a.jpg,2,Transurethral Catheterization is contraindicated in patients who have urethral injuries. Trauma to the urethra should be suspected when a patient has blood at the urethral meatus. A patient who presents with this should be investigated with a retrourethrogram.,,
100,1,Medicine,A 24 year old man is diagnosed with gonorrhea. He is treated with ceftriaxone. He returns a few days later and states that he still has symptoms of dysuria and discharge. His urine microscopy shows no organisms. What is the likely cause of his symptoms? ,Chlamydia,Herpes,Latent gonorrhea,Syphylis,,,1,"It is a standard guideline to always treat a patient with Gonorrhea for both Gonorrhea and Chlamydia. Chlamydia is the most prevalent STD. It is most common among people in their late teens and early twenties and can coexist with gonorrhea.Treatment options include for Gonorrhea: Ceftriaxone 125 mg IM single dose, for Chlamydia: Doxycycline 100 mg Bid for 7 days or Azithromycin 1 gram orally as a single dose. In patient's that are pregnant, avoid doxycycline. The patient should also be advised to have his sexual partner treated.",,
101,3,PMCH,Coronary artery disease (CAD) is more common in men compared to women. Which of the following is also true?,MI investigation and treatment is more effective in men,Chest pain in women is less frequently attributed to non-cardiac causes,Awareness about MI is same in men and women,Hypertension is a stronger risk factor in men compared to women,,,4,"Up until age 85, more men die from CAD than women. Women as a group develop heart disease 10 to 20 years later than men, and after undergoing cardiac catheterization, fewer women are found to have heart disease. Because of this women tend to be less aware about myocardial infarction (MI) and CAD than men.Men run a greater overall risk for developing high blood pressure than women do.",,
102,3,PMCH,"If a child develops diphtheria now, the mortality is almost the same as it was 50 years ago. But now the disease is not so common because  ",Incidence decreased,Prevalence decreased,Effective antibiotics have developed,Incidence increased,Prevalence increase,,1,Prevalence is the number of events in a population at a designated time. Incidence is the number of new events arising within a specified time period. The incidence of diphtheria has been significantly decreased because of routine immunization.,,
103,1,Medicine,A passenger on a bus sustains an injury to his eye with the newspaper of a neighboring person. His vision becomes blurry and he develops redness and pain in his eye. What is the likely diagnosis? ,Corneal abrasion,Conjunctivitis,Iritis,Keratitis,,,1,"Corneal abrasion is the most common type of injury involving the cornea. Contact with dust, dirt, sand, wood shavings, metal particles or even an edge of a piece of paper can scratch or cut the cornea. Because the cornea is extremely sensitive, abrasions can be painful. In case of such an injury, prompt medical care should be obtained.",,
104,1,Medicine,The most common cause of sensorineural hearing loss in the elderly is: ,Meniere's disease,Physical trauma,Ototoxic drugs,Presbycusis,,,4,"The most common cause of hearing impairment in the elderly is presbycusis which is hearing loss that occurs in the high frequency range (4000Hz to 8000Hz). Meneiere's disease is a combination of vertigo, tinnitus and hearing loss. Ototoxic drugs such as aminoglycosides and loop diuretics can cause hearing loss in elderly also.",,
105,5,Psychiatry,The best way to prevent benzodiazepine dependence is,Use benzodiazepines with short half-lives,Use for short duration only,Use at nighttime only,Use more than one benzodiazepine,,,2,"Benzodiazepine have addictive properties. If a benzo with shorter half-life is used, there is more dependency since the patient will see the effect of the drug wear off faster. The better option is to counsel against long term use of such medicines.When prescribing benzodiazepines the following guidelines should be used:Do not prescribe benzodiazepines in someone with a history of drug misuse and dependence.Prescribe the lowest possible doses of benzodiazepines and only prescribe for a few weeks. It is important to remember that patients can get withdrawal symptoms between doses if they are given short-acting benzodiazepines. Elderly patients are particularly prone to adverse effects of benzodiazepines therefore, need to be careful.",,
